Lat_Deg,Lat_Min,Lat_Sec,Lon_Deg,Lon_Min,Lon_Sec
41,37,33.45,-120,44,58.45
41,11,50.7,-123,45,55.1
40,32,17.12,-124,10,37.55
40,51,24.82,-120,15,8.37
40,53,43.58,-122,18,10.36
39,48,33.24,-120,38,50.19
39,58,47.09,-121,42,46.41
39,46,54.8,-122,15,46.07
39,11,19.13,-123,39,30.7
38,50,58.44,-119,51,39.61
37,59,15.36,-122,35,24.67
37,48,43.36,-118,30,5.42
34,29,5.99,-116,59,9.12
34,30,30.88,-114,22,2.52
34,54,14.61,-114,40,43.68
33,41,57.21,-115,47,22.4
33,14,46.38,-115,30,56.35
33,37,29.5,-114,37,3.24
32,58,47,-117,1,21.65
32,50,28.08,-115,27,3.43
32,50,12.12,-114,30,11.62
35,0,34.14,-116,57,7.75
38,33,47.8,-120,17,31.84
38,11,20.3,-119,12,16.14
40,36,32.82,-122,24,25.27
38,45,28.24,-121,3,39.3
33,26,50.42,-118,28,19.62
34,42,9.82,-118,37,16.28
34,17,12.09,-118,6,11.36
33,40,7.89,-117,30,48.13
33,12,54.12,-116,49,51.57
33,40,23.08,-116,40,3.2
36,27,1.49,-121,40,25.25
35,8,43.58,-115,25,38.67
35,47,25.86,-118,38,22.51
34,23,17.27,-117,41,55.79
34,30,10.43,-117,55,34.63
34,4,30.74,-116,44,4.27
34,44,45.17,-120,14,27.16
36,30,3.28,-118,8,37.34
36,29,3.13,-118,40,18.29
34,42,8.36,-119,0,0.63
33,37,24.85,-117,22,10.35
33,14,32.16,-117,24,0.97
32,54,55.32,-116,28,21.09
32,58,29.81,-116,43,28.22
35,36,47.59,-120,50,59.6
